text,created_at,author_handle,author_name,like_count,reply_count,repost_count,uri,sentiment_score,sentiment_label
"Labour wants the next election to be a clear Labour/Reform choice. They need to knock the Greens out of that equation. The issues that anger many Reform voters are the ones the Greens directly address. Immigration hysteria is a smokescreen to cover government failure, stay on that message.",2025-10-17 10:59:52.149000-05:00,brianwoolfinder.bsky.social,Brian Woolfinder,0,0,0,at://did:plc:4dtxogd2u4gtzmou4vkxumtq/app.bsky.feed.post/3m3fndj6h2c2s,-2,Negative
"Most of all, we don't need this! It's part of the lie that noncitizens are voting and ""stealing elections."" They aren't.

Voters must already attest to their citizenship under oath. Noncitizens virtually never vote and have never been shown to vote in numbers that would affect any election.",2025-10-17 10:59:21.554000-05:00,ndiscenza1.bsky.social,Nicole Guenther Discenza,0,0,0,at://did:plc:omdzo6mnwlxo4xiaxys5yopw/app.bsky.feed.post/3m3fnclyq5c2x,0,Neutral
Hungary’s ‘Viktator’ eyes pre-election boost from US-Russia strongman summit,2025-10-17 10:59:17-05:00,irishtimes.com,The Irish Times,0,0,0,at://did:plc:465tbrqfeduj3lhludc6nbog/app.bsky.feed.post/3m3fncihdyv2o,0,Neutral
Deeply ironic that the far right are frenzied over the NYC mayoral election when the #socialist is Trump. He has attacked free markets and expanded Federal power with government acquisition in stakes in private companies and targeted private business decisions.,2025-10-17 10:59:12.716000-05:00,chasfredrickson.bsky.social,Oleo,0,0,0,at://did:plc:f2onfy4e324rksk64q2hyqsh/app.bsky.feed.post/3m3fncdl3ac2p,0,Neutral
"That is the policy as changed around 2023 (2 years ago). Before that it was officially a policy of leaving NATO.

The current leader stated both during the leadership election campaign AND after that he wants the UK to leave NATO and wants to see the policy you quoted changed.",2025-10-17 10:59:00.393000-05:00,warrenoates1.bsky.social,Warren Oates,0,1,0,at://did:plc:r2fhik35uhd3h7nmlxpgn6w6/app.bsky.feed.post/3m3fnbxsx422c,0,Neutral
"It's a bit difficult for me.
I still hold  anger for both. 2016 Comey interfering with election with email crap. Strong possibility if he has just waited a few weeks until after the election, Hilary would have one and no  orange_circle  pile_of_poo .
If Bolton had embraced testifying in impeachments things could be different",2025-10-17 10:59:00.040000-05:00,kerrycornelius.bsky.social,KerryCornelius,0,0,0,at://did:plc:qfuedxh22tqsvcnnyzeotdl4/app.bsky.feed.post/3m3fnbxi7e22s,1,Positive
"The Trump Administration’s Campaign to Undermine the Next Election
www.brennancenter.org/our-work/res...",2025-10-17 10:58:48.926000-05:00,vero1986.bsky.social,Veronica 🇺🇸 🇮🇹 🇺🇦 🇳🇴 🇲🇽 🇩🇪,0,0,0,at://did:plc:ncva6zby5n2spqewkaps4mi4/app.bsky.feed.post/3m3fnbmuyuc25,0,Neutral
"Footnote: Trump lost the popular vote in his first election by millions and in the second won a very small plurality.  The USA, per se, did not vote him in.  He is wildly unpopular, to put it mildly, among the majority of us.",2025-10-17 10:58:42.184000-05:00,sixmile.bsky.social,Unknown,0,0,0,at://did:plc:qk7mulgl3nxh37gpz45vkhrk/app.bsky.feed.post/3m3fnbghaus2z,0,Neutral
"I wonder if this is my last election. 
Vote",2025-10-17 10:58:37.500000-05:00,stevewfolds.bsky.social,Steve Worcester,3,0,2,at://did:plc:3r536pl2ekpvn7dvqmmrcge2/app.bsky.feed.post/3m3fnbbykhs2t,0,Neutral
I read that CyFair has board members up for election and they’re hoping to oust the umpist incumbents.,2025-10-17 10:58:34.981000-05:00,handle.invalid,Alx / Ay-ay-ron,1,0,0,at://did:plc:nkbez4hbv46artiojvzv3slz/app.bsky.feed.post/3m3fnb7lgp22x,0,Neutral
"Check your voting records.I voted, but it shows that I didn't even attend i know this dumb f*** stole the election.",2025-10-17 10:57:48.855000-05:00,acw88.bsky.social,Unknown,0,0,0,at://did:plc:uabmnur7opfern7xkyy4d4uy/app.bsky.feed.post/3m3fn7tomx42e,0,Neutral
"I've already sent my ballot for Prop 50. If you're in California and haven't done that yet, please do so ASAP.

If you're in one of the other states where pro-authoritarian gerrymandering is an issue, then take the appropriate steps for your situation in time for the November election.",2025-10-17 10:57:40.246000-05:00,mudshark58.bsky.social,Jonathan Aul,0,0,0,at://did:plc:khekaoi6y2sjb4r3ij53xrh3/app.bsky.feed.post/3m3fn7lf5i22p,0,Neutral
"#ottcity Election Watch 2026: Campaigns & aligned citizens groups must keep eye on financial reporting. 

Third parties will use any financial irregularities to create 'chill effect'. 

@kengray20.bsky.social @neilsara.bsky.social @seandevine9.bsky.social #ottawa 

www.cbc.ca/news/canada/...",2025-10-17 10:57:36.200000-05:00,evanhpotter.bsky.social,Evan H. Potter,0,0,0,at://did:plc:uurmccpvoiwgtbwblm4eyl4h/app.bsky.feed.post/3m3fn7hjme225,0,Neutral
"Term and age limits. 

- Four House terms, maximum, regardless of party affiliation.
- Four Senate terms, maximum, regardless of party affiliation. 
- Combined, that would be 24 years in Congress. 
- You cannot run for any elected position if you are older than 76 the year of the election.",2025-10-17 10:57:14.396000-05:00,skoinguud.bsky.social,Skoinguud 🇨🇦,0,0,0,at://did:plc:lhrqfkzlbuqhvt3zljozk5uu/app.bsky.feed.post/3m3fn6sq6fs2g,0,Neutral
She doesn't leave the house for anything but an election year.,2025-10-17 10:57:12.481000-05:00,nevadajones.bsky.social,Nevada Jones,0,0,0,at://did:plc:cgp73bn5b3lxq6v64rpgc4d6/app.bsky.feed.post/3m3fn6qvqc223,0,Neutral
We need a photo gallery of the dilapidated parking lots they are defending. The cost of the election surely exceeds the maintenance budget for the parking lots.,2025-10-17 10:56:51.626000-05:00,oldfartmaxwell.bsky.social,Uncomfortably Numb,1,0,0,at://did:plc:qakc7dynicctgim6qt6xyyk7/app.bsky.feed.post/3m3fn64zd2k26,0,Neutral
"Me too!!

I’m still pissed about the last election!",2025-10-17 10:56:51.362000-05:00,djlane.bsky.social,Dan,0,0,0,at://did:plc:l4q675yimloymf7po74lwbrq/app.bsky.feed.post/3m3fn64rabs2u,0,Neutral
How about a multistate alliance to counter the Trump/GOP authoritarian effort to steal the 2026 election through mid decade gerrymandering. Where's Colorado!,2025-10-17 10:56:34.806000-05:00,we-are-toast.bsky.social,Trump/GOP corruption threatens the world,0,0,0,at://did:plc:chsce4u62bbx3jm7pna2xmov/app.bsky.feed.post/3m3fn5mxzbk2w,0,Neutral
"""It's too close to the next election.""",2025-10-17 10:56:28.496000-05:00,llessu.bsky.social,Unknown,0,0,0,at://did:plc:v5kqrzo5sf65rov4k5noso32/app.bsky.feed.post/3m3fn5gxg6s2u,0,Neutral
"Citizens United v. Federal Election Commission on January 21, 2010

(long after Reagan)",2025-10-17 10:56:11.559000-05:00,glennstorm.bsky.social,Glenn Storm,0,0,0,at://did:plc:5s3q6docivifp32uobaoydtk/app.bsky.feed.post/3m3fn4wsk5k2e,0,Neutral
"“It may be three years from now” or five or ten; whenever this vile regime is dislodged. They intend to reign indefinitely, aren’t going to leave for no goddam election. We must not normalize these authoritarian bastards.",2025-10-17 10:56:10.979000-05:00,harmonicabob.bsky.social,Unknown,0,0,0,at://did:plc:cakt3cpmcb25ahz2jccdgwhh/app.bsky.feed.post/3m3fn4watqk2g,0,Neutral
"It's nonsense, it's been on the cards since Labour won the election, it was always a not yet, why on earth would Labour be swayed by anything Polanski says.",2025-10-17 10:56:09.385000-05:00,csav55.bsky.social,Claire Savage (UK not USA),0,0,0,at://did:plc:notdmlbmm3rjpctndlnjykbi/app.bsky.feed.post/3m3fn4uq7422l,0,Neutral
"Voting for the Kubernetes Steering Committee Election is open until Oct 24th! Check your eligibility on the election page and submit your vote via Elekto: elections.k8s.io/app/election.... 
Don’t wait, make your vote count! #K8sElectionNews github.com/kubernetes/c...",2025-10-17 10:56:04.326000-05:00,kubernetes.dev,K8sContributors,0,0,0,at://did:plc:v6ps63hssmxoznrgwbyxmqcx/app.bsky.feed.post/3m3fn4r74ou2a,0,Neutral
The sectarian rhetoric over one candidate in the election has helped to put that to bed for a while,2025-10-17 10:55:59.504000-05:00,fionasmall.bsky.social,Fiona Small,1,0,0,at://did:plc:u4ge77djjxw6y7bu7sbxoqoc/app.bsky.feed.post/3m3fn4lcoo22y,0,Neutral
"Because America First!!   If you were mad that  tangerine  pile_of_poo  was giving $20 billion to buy the election for his dictator friend Milei in Argentina, guess what? He just doubled that to $40 billion.  Oh, and he has cancelled SNAP $ for November. But rest assured, Fascism will remain strong in Argentina.   face_with_rolling_eyes ",2025-10-17 10:55:45.654000-05:00,johnriley2327.bsky.social,Unknown,0,0,0,at://did:plc:5wmxyp6rojf2fwzrytm25rub/app.bsky.feed.post/3m3fn464dzc2v,1,Positive
"Trump/Miller knows exactly why they’re killing Venezuelans. They’re hoping for a reason to declare martial law before the next election.
Bye-bye, free and fair Democratic elections!",2025-10-17 10:55:31.344000-05:00,mandms-mom.bsky.social,Unknown,0,0,0,at://did:plc:7axoxkkqrcxpmphj3y6jefzy/app.bsky.feed.post/3m3fn3qhco22n,0,Neutral
Expect a little more nuance from your candidates because that is just a lousy message for us in the next election.,2025-10-17 10:55:13.286000-05:00,princessmom122.bsky.social,Melanie Jean,0,0,0,at://did:plc:dv65gevc3xacjp67ltqoziin/app.bsky.feed.post/3m3fn37a7vk2r,0,Neutral
"The deadline to vote in next months election, where three state Supreme Court justices are on the ballot, is Monday. penncapital-star.com/voting/penns...",2025-10-17 10:55:05.127000-05:00,penncapital-star.com,Pennsylvania Capital-Star,0,0,2,at://did:plc:ynfviyhalw72hubeta5234n2/app.bsky.feed.post/3m3fn2xh75k2i,0,Neutral
"My Council D2/ School Committee DC voter picks for the 2025 Election: 

D2: Rob Bilotta 

DC: Feanna Jattan-Singh

At-Large Council: Cayden Davis; Jermoh Kamara; Edson Montero; Jessica Pepple; Khrystian King; #6 TBD

At-Large School Committee: Sue Mailman; Adwoa Sakyi-Lamptey 

Mayor: Khrystian King",2025-10-17 10:54:55.198000-05:00,noethematt.bsky.social,Matthew Noe,0,1,0,at://did:plc:qkxpd2pkitvhg6korekex552/app.bsky.feed.post/3m3fn2ny6uc2s,0,Neutral
"That’s a dog whistle and a terrible message for us in this election. Christ, especially if the candidate is white. If you are white, stop rewarding that rhetoric. You can run a primary against an established Democrat without racist tropes.",2025-10-17 10:54:29.484000-05:00,princessmom122.bsky.social,Melanie Jean,0,1,0,at://did:plc:dv65gevc3xacjp67ltqoziin/app.bsky.feed.post/3m3fmzvhhjs2r,-4,Negative
"btw im not being funny or anything but ""election candidate can't bring himself to defend his own party"" is a definite and total sign that your party is about to lose elections, basically intrinsically",2025-10-17 10:54:28.492000-05:00,dov.bsky.social,Drow Paweł Włodkowic 🇺🇦🇱🇹🇵🇸🏴󠁧󠁢󠁳󠁣󠁴󠁿,16,2,0,at://did:plc:gmbqy5pcenb4bduadxtinou7/app.bsky.feed.post/3m3fmzuj7r22o,0,Neutral
"100%. We dissent tomorrow.

And we will VOTE on 11/4. Almost everyone has an election they can vote in. The school boards and county commission elections are the most important - who do you want in those positions when ICE comes and asks for co-operation? Which Mayor will defend you?",2025-10-17 10:54:26.470000-05:00,cozybooksonly.bsky.social,Unknown,0,0,0,at://did:plc:t55pafjh7kphmthjpktizows/app.bsky.feed.post/3m3fmzslsw22o,0,Neutral
"Corruption, Emoluments,  Failing Economy,  Election Rigging, Xenophobia, Racism, Rising Economy, Rising Monopoly Power, Misogyny. Bund to reality.",2025-10-17 10:54:13.222000-05:00,gramzi.bsky.social,Elizabeth A Woodside,0,0,0,at://did:plc:zhe7r5o3osyi2xaxp7kvmgkb/app.bsky.feed.post/3m3fmzfx7nk2e,0,Neutral
"Hey, @schumer.senate.gov, @hakeem-jeffries.bsky.social, @kenmartin.bsky.social, and @democrats.org in general.

When we ask what Dems are for, and you're silent? We know you're NOT going to do things like this.

I vote in every election, but not everyone does. There are reasons we don't care more.",2025-10-17 10:53:51.710000-05:00,cryptosantra.bsky.social,Nathan Standing,0,0,0,at://did:plc:dcupnwaxyomuequmjupqy3oy/app.bsky.feed.post/3m3fmyrgqss22,1,Positive
Japan Parliament To Elect New Prime Minister On Oct 21 #Japan #PrimeMinister #Election #Politics #LiberalDemocraticParty,2025-10-17 10:53:35-05:00,asianewstoday.bsky.social,Asia News Today,0,0,0,at://did:plc:p6nd2xdlb3i3hls7of7mslfv/app.bsky.feed.post/3m3fmybqkto2l,0,Neutral
I read that Pelosi had to wait for the election results to be confirmed (there is an official word for this) and then swore in the new member.  That has already happened in Rep. Grivjala's situation.,2025-10-17 10:53:32.616000-05:00,emwhitley.bsky.social,"We, not Me",0,0,0,at://did:plc:kawxl7h5fdyfd7kxrfg6gwkh/app.bsky.feed.post/3m3fmy77ze22f,0,Neutral
"in far greater numbers than the Left ever did, & that was when they were represented, unlike the Left.

White Liberals still trash Bernie and blame him for losing the 2016 election even though he did more events for Clinton than Clinton did for Obama and only use him as a cudgel to punch Left with.",2025-10-17 10:53:12.510000-05:00,iron-lotus84.bsky.social,Unknown,0,1,0,at://did:plc:wypcg2woeo2evwcce2pl445q/app.bsky.feed.post/3m3fmxm2fmc25,0,Neutral
"Dear @zohrankmamdani.bsky.social, if elected mayor, will you commit to at least two Bigfoot related parades a year? I'm open to one of them being for UFOs instead. If not, I can't vote for you. 

Sincerely, a person who doesn't live in NYC and isn't eligible to vote in its election anyway",2025-10-17 10:53:10.052000-05:00,goldstein.bsky.social,Samhain Goldstein,1,1,0,at://did:plc:luyspucx7l6vzr4slq3lmt2f/app.bsky.feed.post/3m3fmxjpg722v,0,Neutral
"Everyone is getting what TX has been doing for decades.

Then you wonder why election results are the way they are.",2025-10-17 10:53:09.256000-05:00,babewiththepower.bsky.social,🇺🇸🇲🇽 The Babe with the Power,0,0,0,at://did:plc:u2673mqre3hgx32l6yv3vne2/app.bsky.feed.post/3m3fmxix4u225,0,Neutral
Corzine got numbers a bit better than this in the '05 election before '06. In general I don't think NJ results are super correlated to the house or Senate elections the next year (very small sample size),2025-10-17 10:53:08.760000-05:00,oneshoup.bsky.social,#1 Shoup Fan,0,0,0,at://did:plc:g6gquhuf73se6bxkpgyurbyl/app.bsky.feed.post/3m3fmxihyi22r,0,Neutral
"I can't adequately express my disgust at the blatant racism that exists in this country esp from those in power. We're the land of the free, we the people. Not we the white people. Look at a person and see a human, not a color, not a national origin, & esp not a 'tool' to win or lose an election.",2025-10-17 10:53:07.773000-05:00,pishablunk79.bsky.social,Unknown,0,0,0,at://did:plc:6awqgqyotzuesug5fed5jwzk/app.bsky.feed.post/3m3fmxhjtn22f,1,Positive
"Both ""parties view the [The PA Supreme Court] race as key to the redistricting fight after the 2030 census, and...potential election lawsuits...that could be settled by the court."" https://www.politico.com/newsletters/weekly-score/2025/10/14/pennsylvanias-high-stakes-retention-election-00606479 ",2025-10-17 10:53:05.711238893-05:00,conservationpa.bsky.social,Conservation Voters of PA,1,0,1,at://did:plc:twqomqiljttv7z6vai5dnpgr/app.bsky.feed.post/3m3fmxfluji2e,0,Neutral
We've known since the election. What I don't understand is why no one in power (Biden admin?) did anything about it.,2025-10-17 10:52:58.960000-05:00,amethystrocks.bsky.social,AmethystRocks,0,0,0,at://did:plc:dictvhocyz6j7uecnj25b7rz/app.bsky.feed.post/3m3fmx74w622u,0,Neutral
"“Kiley’s contrarian streak extends to the government’s files about the convicted sex offender Jeffrey Epstein. He has called on Johnson to swear in Rep.-elect Adelita Grijalva, a Democrat from Arizona who won a special election in September…”
www.sfgate.com/politics/art...",2025-10-17 10:52:57.913000-05:00,sammythecat.bsky.social,SammyTheCat,1,1,1,at://did:plc:z45kcsfv3sti37slravrnp6r/app.bsky.feed.post/3m3fmx64yok2g,0,Neutral
"This disallows my vote: I’m broadly supportive of the party in concept, but I left this year because I didn‘t support some of its policies. So… never mind, I suppose. Carry on with whatever the hell it is you think you’re doing.",2025-10-17 10:52:40.780000-05:00,nickharkaway.com,Nick Harkaway,8,0,0,at://did:plc:7bdyw3t7ynnirri4m3dr3bjm/app.bsky.feed.post/3m3fmwnsb5c2l,1,Positive
"Some truly incredible comments in this from FIA Presidential candidate Tim Mayer.

As reported on PlanetF1 last Wednesday, the election process has made it a one-horse race. #F1",2025-10-17 10:52:31-05:00,matcoch.bsky.social,Mat Coch,0,0,0,at://did:plc:i2hdu4e2mqco4gg6cuqvprqj/app.bsky.feed.post/3m3fmwg5b6m2z,0,Neutral
"the Trump administration and its collaborators believe that, by winning an election, they haven't been temporarily given an office with named, limited powers, but rather have defeated their opponents on the field of battle and earned the right to dominate them.",2025-10-17 10:51:33.495000-05:00,sethdmichaels.bsky.social,Sexy Monsters,36,3,8,at://did:plc:5yqvqwtglgefljliuko3icmb/app.bsky.feed.post/3m3fmunmpbk2a,0,Neutral
How much longer until the NYC election? I'm so over this,2025-10-17 10:51:29.713000-05:00,headingwest.ca,Luna 🌙,0,1,0,at://did:plc:x3zi3pcke73bhoz5zukuo53u/app.bsky.feed.post/3m3fmujzbw22l,0,Neutral
"Seen it on literally every social media website yet people on here thing this is only a nasty campaign on one side of it.
This election has made me think a UI where all communities can be respected is further off than Id believed/hoped",2025-10-17 10:51:08.343000-05:00,taesaveslives.bsky.social,Thomas Duffy,1,1,0,at://did:plc:ymhebkmh56zigyqiomogsupn/app.bsky.feed.post/3m3fmtvnjhs23,0,Neutral
"it’s not pretending 235 elections didn’t happen, it’s pretending one election didn’t happen 235 times",2025-10-17 10:51:07.603000-05:00,scalehelix.net,"Sick Hunt, Dracones",8,1,0,at://did:plc:xtiamgr3cp76i6tmpb4m2zyo/app.bsky.feed.post/3m3fmtuwk4k2j,0,Neutral
"Interested in election security? this is a must read piece that provides a lot of details about a very nuanced industry.
www.wired.com/story/scott-...

What happens when privately held companies that offer democratic services are purchased by partisan actors?

I guess we will find out soon.",2025-10-17 10:50:30.989000-05:00,paseculardems.bsky.social,Secular Dems of Pennsylvania,0,0,0,at://did:plc:xpuzq76tcpesb3jitjrviedg/app.bsky.feed.post/3m3fmsrzc622d,0,Neutral
"Fernando Miter – The search for a name to face Lula in 2026

The search for a name to face Lula in next year's election. This is the subject of the A Notícia column, with Fernando Miter. Share with your friends! Source link",2025-10-17 10:50:30-05:00,virtualnews360.bsky.social,Unknown,0,0,0,at://did:plc:s6e2lk7c6rkaafxftbdowvel/app.bsky.feed.post/3m3fmsssaol2n,0,Neutral
"I'll never get a clean version of this one from the Manitoba election but I love and relate to ""please don't be too ashamed of us"" as a closing message.",2025-10-17 10:50:27.975000-05:00,robinwilde.me,Robin Wilde,3,1,1,at://did:plc:oale5374raci6sdnkmymjsjg/app.bsky.feed.post/3m3fmsp5csk2c,2,Positive
"New Open Research Event  graduation_cap  tear-off_calendar  - Crossref annual meeting and board election #Crossref2025 held Online from 22/10/2025 to 23/10/2025. For more info, view the event in our calendar.",2025-10-17 10:50:12.843000-05:00,openresearchcalendar.org,Open Research Calendar,0,0,0,at://did:plc:zm7upqrllngfxkruujjx2siy/app.bsky.feed.post/3m3fmsb4zm42v,0,Neutral
"The Enforcement Acts were some of the acts under which Donald Trump was indicted on August 1, 2023; but due to the continual delay tactics used by Trump’s lawyers, Special Counsel Jack Smith was forced to dismiss the case following the disappointing results of the 2024 Presidential Election. (3/4)",2025-10-17 10:50:07.083000-05:00,echristensen.bsky.social,Eric Christensen,0,1,0,at://did:plc:bvlf4oy7aqg5yxaf2g27hgh7/app.bsky.feed.post/3m3fms37mkk2t,0,Neutral
Omg y’all insist on proving my points. One post of criticism and suddenly I’m Nancy Pelosi. Lol. Btw I will be happy if she loses her re-election campaign and even happier if the person who wins is not another AIPAC carbon copy of her.,2025-10-17 10:50:03.215000-05:00,clinkjet.bsky.social,Unknown,0,1,0,at://did:plc:unexel354qjyfmcd56f2wk2w/app.bsky.feed.post/3m3fmrxjm6s2a,1,Positive
Don't threaten.  Act!  The litigation should have been filed the instant AZ certified the election.  Dump this gormless leadership or lose many more elections.,2025-10-17 10:50:02.115000-05:00,kelleyrinehart.bsky.social,Kelley Rinehart,0,0,0,at://did:plc:vjvhfvkfoipr7saohbodmimt/app.bsky.feed.post/3m3fmrwhyyk2q,0,Neutral
A campaign encouraging people to spoil their vote in the upcoming Presidential Election has been launched in Dublin city centre,2025-10-17 10:49:48.566000-05:00,news.rte.ie,RTÉ News,1,5,0,at://did:plc:ecd7o2kgjtaq2exh2uwa7hhd/app.bsky.feed.post/3m3fmrjkjkc2k,0,Neutral
"""Just when you thought the news couldn't get darker.  From election interference to climate disasters, we're diving into the toughest stories of our time. What's the most concerning news story you're following right now? Share with u... amazon daily sales: https://cutt.ly/dailysales",2025-10-17 10:49:24.044799-05:00,dailynewshub.bsky.social,Unknown,0,0,0,at://did:plc:wxdmbiqkstoekhl6j5j4huaq/app.bsky.feed.post/3m3fmqrrxtl2e,0,Neutral
"Also, please give umichvoter and VoteHubUS a follow! They're doing incredible work with election information and maps!",2025-10-17 10:49:21.275000-05:00,electionsjoe.bsky.social,Joe,1,0,0,at://did:plc:mikei5yciwkfl7jwkgs7en4u/app.bsky.feed.post/3m3fmqvjgvl2h,0,Neutral
"“You would think a former member of Congress would have more f------ respect for the institution she used to serve in,” said one Republican lawmaker.

""Respect"" here means ""don't screw with *my* re-election"" and nothing more. It's the ""respect"" of gangsters.

www.rawstory.com/kristi-noem-...",2025-10-17 10:49:11.827000-05:00,rustyskylark.bsky.social,Rusty Skylark 🥄🌮🐔💩,0,0,0,at://did:plc:ecwjjcj4oj4mgvhqeqn3hhb2/app.bsky.feed.post/3m3fmqgjels2o,3,Positive
"A Union Guide to the November 2025 election: There’s a low-key election this Nov. 4. Turnout will be low. Union households can make a difference — if they vote.
 nwlaborpress.org/2025/10/a-un...",2025-10-17 10:49:01.684000-05:00,nwlaborpress.org,NW Labor Press,1,0,0,at://did:plc:ha66jkq3r4lbufjbmnvigxbk/app.bsky.feed.post/3m3fmq64zo32j,0,Neutral
"Unfortunately, those who don't study don't want to be educated and see the protests as a bunch of libtards who can't get over losing the election.

That's no reason not to fill the streets of every major (and minor) city across the land, just an observation.",2025-10-17 10:48:55.054000-05:00,leftsidestrongside.bsky.social,Jesus Weeps Still,0,0,0,at://did:plc:b3p52rlmluu2ouwf2yclkblm/app.bsky.feed.post/3m3fmpwjhqc2s,0,Neutral
"Every single one of em in the #Commons, and in the #Lords!  If they want to represent the #IsraeliTerroristState - then they should move there and stand for election!

They DON'T represent the #BritishPublic - so VOTE THEM OUT!",2025-10-17 10:48:42.430000-05:00,justiceseer.bsky.social,Unknown,0,0,0,at://did:plc:7ltygigaq73clipjyowsemti/app.bsky.feed.post/3m3fmpki7mc2p,0,Neutral
Newsmax Media said on October 16 that it is in talks to settle a lawsuit brought by Dominion Voting Systems after the 2020 US presidential election. Dominion accused Newsmax of spreading false claims that it rigged the presidential election against Donald Trump reut.rs/4nYvx4i,2025-10-17 10:48:35.465000-05:00,legal.reuters.com,Reuters Legal,0,0,0,at://did:plc:ieqql4ogk6t5zdgimr2pntnm/app.bsky.feed.post/3m3fmpdubf22p,0,Neutral
"If he gets elected, he’ll drive out loads of corporations and wealthy people. NYC will massively suffer because of his policies. 

But he’ll still win the election because all people hear is “free stuff”.",2025-10-17 10:48:33.283000-05:00,elchamb.bsky.social,Gulf of America,0,0,0,at://did:plc:jzfznpuk4y3frxnuqjpxnycg/app.bsky.feed.post/3m3fmpbr2yk2d,1,Positive
